case_id,family,pattern_id,changed_qids,set_change_rate,order_change_rate,first_change_position,private_access_count,leak_class,status
c_c2ed5d72fa75485f,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_cb0685fad8ad43aa,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_cd44e81e84724d4a,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_ceda2a01073c44f3,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_d054acaba196402a,Leak-R,R3,0,0.0,0.0,,60,ACCESS_LEAK,REPRODUCED
c_d0846fda3e5e4736,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_d55aa91337014b89,Leak-R,R4,0,0.0,0.0,,105,ACCESS_LEAK,REPRODUCED
c_eac81545cbfb4249,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_ee3a39fd03e44190,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_f34ccbf725484c85,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_f4d70eb71afc4710,Leak-R,R1,0,0.0,0.0,,105,ACCESS_LEAK,REPRODUCED
c_f75797537cc541d2,Leak-R,R2,0,0.0,0.0,,105,ACCESS_LEAK,REPRODUCED
c_f7760253c6c444cb,Leak-M,M3,1,0.0,0.016666666666666666,2,5,BEHAVIORAL_LEAK,REPRODUCED
c_ffa58de489ef46d9,Leak-M,M2,1,0.0,0.016666666666666666,2,5,BEHAVIORAL_LEAK,REPRODUCED
