qid_hash,doc_id_hash,level,category,row_hash
h_e2fde3be494ddaf5,,query,query_states_real_conflict,c5a934065a83bf7666d045c7f775f5a331f3ac799fca1095f9559e3ffdd2237f
h_96c0a24fe612e67c,,query,query_states_real_conflict,1410bd55209544c88ac55b26601b79253561126f2a55848400f1950acc2adc6a
h_0447ff1e20811c1c,,query,query_states_real_conflict,c9dd2245d1cfc9dfb76d55e3f743ccf397535e271b173562547d3b33ee898cb9
h_0447ff1e20811c1c,,query,risk_types_real_conflict,c9dd2245d1cfc9dfb76d55e3f743ccf397535e271b173562547d3b33ee898cb9
h_085a74f610e725c9,,query,query_states_real_conflict,31fbe81593569cb287737c0d6a88529cf7822d9ec4c5faf5c6afab4f66737751
h_f0cbd354c935e74a,,query,query_states_real_conflict,bbcb2e011bc53a56b717c32552d1d9000b11e04f27bb2f5143cc69e3b6666bed
h_a62519d8105562d4,,query,query_states_real_conflict,aac8e5db80164c7e20939eb44e7d445d9c22601de11e7fc7e42c710cd889331c
h_0e17180169a58461,,query,query_states_real_conflict,048ec5ff55356aabf4ee6986895cbe6326cdda3beed5629319fbaf3e6d3d050a
h_0e17180169a58461,,query,risk_types_real_conflict,048ec5ff55356aabf4ee6986895cbe6326cdda3beed5629319fbaf3e6d3d050a
h_398e6ce1bad671e5,,query,query_states_real_conflict,52300c5a3b5ede1a10b8cd54475fd1644697d24a33668c821baf704a59f678dc
h_398e6ce1bad671e5,,query,risk_types_real_conflict,52300c5a3b5ede1a10b8cd54475fd1644697d24a33668c821baf704a59f678dc
h_edcd3660ce75978f,,query,fully_consistent,c3832a6db309c8b3eddd93a63bdbfb765063dac30f4cc7d9869814213d53606c
h_46847b652a1f9ced,,query,query_states_real_conflict,ad5c984720aae5de36bdcbc9829b64b48a76291b70cffdf17e0cd903d4a0727b
h_b1a42b5b6fe72e46,,query,query_states_real_conflict,6d73d550c208aef8ea74e1864104563430e154b723040446dc64ac8963a5e8e3
h_59632ad5aa846494,,query,query_states_real_conflict,1b664d184f9b8930e5d0a767da42bdf0dbbdcd014c1ad49b84c64c6652d3ebf2
h_845043ca76aff3e9,,query,query_states_real_conflict,12541396536884063b0bcf07d5229374f3e40d2fd13939ca77ca69ed196e9ec0
h_19e2bf612f860a0f,,query,query_states_real_conflict,810ea26e3fbdfba3c1a55387169d3ac6ccfe2462b4f18c91f281cc9b0fd7e0c5
h_19e2bf612f860a0f,,query,risk_types_real_conflict,810ea26e3fbdfba3c1a55387169d3ac6ccfe2462b4f18c91f281cc9b0fd7e0c5
h_7d128cce91b8981e,,query,query_states_real_conflict,c2760c00080d08c437cf1ca18b2e8eaf09585542054d15378ffdee7f408f60e3
h_62360070902a8b05,,query,query_states_real_conflict,b4d5b9f4d800dd460caff9e90368c6158ce1954124fb0982bcd0768ee2c5be63
h_1c9fa8ebc689c9d0,,query,query_states_real_conflict,7a0b0014b01f66bfddac7aa8fca5e2f7d2b111b06fde678ae8c20d77038011fc
h_1fc53a88426433cd,,query,query_states_real_conflict,40beaa2853286bd4b9d88615d64f0eda2383a89de5748a618e89b07592045e2f
h_20c782809efea749,,query,query_states_real_conflict,3038682d899e1238666e7c278a636a40c65503af4c06913df3fea981111c1aed
h_20c782809efea749,,query,risk_types_real_conflict,3038682d899e1238666e7c278a636a40c65503af4c06913df3fea981111c1aed
h_05cdb0a7b431a016,,query,query_states_real_conflict,e795b3805b717214e0e3c602e704c3863800fed52cb5a8233ea22e940c37b029
h_8e44f9c054a263eb,,query,query_states_real_conflict,bc4529c2540e83be35a089c662f4b681731ff268cf631b91f218a7fb626fc34a
