scenario,leak_rate,seed,demand_cov
evidence_only,0.0,13,0.8745
evidence_only,0.0,14,0.8745
evidence_only,0.0,15,0.8745
evidence_only,0.0,16,0.8745
evidence_only,0.0,17,0.8745
evidence_only,0.0,18,0.8745
evidence_only,0.0,19,0.8745
evidence_only,0.0,20,0.8745
evidence_only,0.0,21,0.8745
evidence_only,0.0,22,0.8745
evidence_only,0.0,23,0.8745
evidence_only,0.0,24,0.8745
evidence_only,0.0,25,0.8745
evidence_only,0.0,26,0.8745
evidence_only,0.0,27,0.8745
evidence_only,0.0,28,0.8745
evidence_only,0.0,29,0.8745
evidence_only,0.0,30,0.8745
evidence_only,0.0,31,0.8745
evidence_only,0.0,32,0.8745
evidence_only,0.0,33,0.8745
evidence_only,0.0,34,0.8745
evidence_only,0.0,35,0.8745
evidence_only,0.0,36,0.8745
evidence_only,0.0,37,0.8745
evidence_only,0.0,38,0.8745
evidence_only,0.0,39,0.8745
evidence_only,0.0,40,0.8745
evidence_only,0.0,41,0.8745
evidence_only,0.0,42,0.8745
evidence_only,0.0,43,0.8745
evidence_only,0.0,44,0.8745
evidence_only,0.0,45,0.8745
evidence_only,0.0,46,0.8745
evidence_only,0.0,47,0.8745
evidence_only,0.0,48,0.8745
evidence_only,0.0,49,0.8745
evidence_only,0.05,0,0.8707
evidence_only,0.05,1,0.8741
evidence_only,0.05,2,0.8657
evidence_only,0.05,3,0.8732
evidence_only,0.05,4,0.8807
evidence_only,0.05,5,0.8737
evidence_only,0.05,6,0.8799
evidence_only,0.05,7,0.8774
evidence_only,0.05,8,0.8758
evidence_only,0.05,9,0.8682
evidence_only,0.05,10,0.8628
evidence_only,0.05,11,0.8757
evidence_only,0.05,12,0.8770
evidence_only,0.05,13,0.8695
evidence_only,0.05,14,0.8787
evidence_only,0.05,15,0.8765
evidence_only,0.05,16,0.8745
evidence_only,0.05,17,0.8753
evidence_only,0.05,18,0.8720
evidence_only,0.05,19,0.8730
evidence_only,0.05,20,0.8807
evidence_only,0.05,21,0.8732
evidence_only,0.05,22,0.8718
evidence_only,0.05,23,0.8703
evidence_only,0.05,24,0.8705
evidence_only,0.05,25,0.8741
evidence_only,0.05,26,0.8733
evidence_only,0.05,27,0.8770
evidence_only,0.05,28,0.8765
evidence_only,0.05,29,0.8702
evidence_only,0.05,30,0.8720
evidence_only,0.05,31,0.8759
evidence_only,0.05,32,0.8707
evidence_only,0.05,33,0.8787
evidence_only,0.05,34,0.8745
evidence_only,0.05,35,0.8728
evidence_only,0.05,36,0.8782
evidence_only,0.05,37,0.8780
evidence_only,0.05,38,0.8772
evidence_only,0.05,39,0.8774
evidence_only,0.05,40,0.8802
evidence_only,0.05,41,0.8678
evidence_only,0.05,42,0.8777
evidence_only,0.05,43,0.8691
evidence_only,0.05,44,0.8732
evidence_only,0.05,45,0.8757
evidence_only,0.05,46,0.8720
evidence_only,0.05,47,0.8714
evidence_only,0.05,48,0.8724
evidence_only,0.05,49,0.8711
evidence_only,0.1,0,0.8691
evidence_only,0.1,1,0.8766
evidence_only,0.1,2,0.8780
evidence_only,0.1,3,0.8660
evidence_only,0.1,4,0.8762
evidence_only,0.1,5,0.8660
evidence_only,0.1,6,0.8839
evidence_only,0.1,7,0.8732
evidence_only,0.1,8,0.8702
evidence_only,0.1,9,0.8742
evidence_only,0.1,10,0.8749
evidence_only,0.1,11,0.8735
evidence_only,0.1,12,0.8702
evidence_only,0.1,13,0.8723
evidence_only,0.1,14,0.8828
evidence_only,0.1,15,0.8666
evidence_only,0.1,16,0.8759
evidence_only,0.1,17,0.8823
evidence_only,0.1,18,0.8705
evidence_only,0.1,19,0.8803
evidence_only,0.1,20,0.8692
evidence_only,0.1,21,0.8803
evidence_only,0.1,22,0.8670
evidence_only,0.1,23,0.8718
evidence_only,0.1,24,0.8712
evidence_only,0.1,25,0.8730
evidence_only,0.1,26,0.8778
evidence_only,0.1,27,0.8736
evidence_only,0.1,28,0.8712
evidence_only,0.1,29,0.8752
evidence_only,0.1,30,0.8755
evidence_only,0.1,31,0.8745
evidence_only,0.1,32,0.8682
evidence_only,0.1,33,0.8804
evidence_only,0.1,34,0.8742
evidence_only,0.1,35,0.8780
evidence_only,0.1,36,0.8786
evidence_only,0.1,37,0.8814
evidence_only,0.1,38,0.8716
evidence_only,0.1,39,0.8747
evidence_only,0.1,40,0.8682
evidence_only,0.1,41,0.8757
evidence_only,0.1,42,0.8741
evidence_only,0.1,43,0.8682
evidence_only,0.1,44,0.8767
evidence_only,0.1,45,0.8784
evidence_only,0.1,46,0.8666
evidence_only,0.1,47,0.8657
evidence_only,0.1,48,0.8764
evidence_only,0.1,49,0.8753
evidence_only,0.25,0,0.8747
evidence_only,0.25,1,0.8772
evidence_only,0.25,2,0.8681
evidence_only,0.25,3,0.8866
evidence_only,0.25,4,0.8668
evidence_only,0.25,5,0.8759
evidence_only,0.25,6,0.8787
evidence_only,0.25,7,0.8722
evidence_only,0.25,8,0.8851
evidence_only,0.25,9,0.8776
evidence_only,0.25,10,0.8640
evidence_only,0.25,11,0.8793
evidence_only,0.25,12,0.8732
evidence_only,0.25,13,0.8808
evidence_only,0.25,14,0.8777
evidence_only,0.25,15,0.8763
evidence_only,0.25,16,0.8772
evidence_only,0.25,17,0.8712
evidence_only,0.25,18,0.8712
evidence_only,0.25,19,0.8774
evidence_only,0.25,20,0.8742
evidence_only,0.25,21,0.8715
evidence_only,0.25,22,0.8871
evidence_only,0.25,23,0.8792
evidence_only,0.25,24,0.8768
evidence_only,0.25,25,0.8683
evidence_only,0.25,26,0.8666
evidence_only,0.25,27,0.8824
evidence_only,0.25,28,0.8744
evidence_only,0.25,29,0.8784
evidence_only,0.25,30,0.8727
evidence_only,0.25,31,0.8792
evidence_only,0.25,32,0.8808
evidence_only,0.25,33,0.8710
evidence_only,0.25,34,0.8791
evidence_only,0.25,35,0.8733
evidence_only,0.25,36,0.8771
evidence_only,0.25,37,0.8697
evidence_only,0.25,38,0.8762
evidence_only,0.25,39,0.8707
evidence_only,0.25,40,0.8759
evidence_only,0.25,41,0.8824
evidence_only,0.25,42,0.8768
evidence_only,0.25,43,0.8718
