result_id,experiment_family,split,method,metric,value,sample_size,status,source_release,source_commit,source_file,source_sha256,verification_method,local_rerun,notes
b0_d3_statistics.1.diff,b0_d3_statistics,formal_train,,diff,0.0457,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/significance.csv,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,sha256_schema_row_count,false,
b0_d3_statistics.1.p_value,b0_d3_statistics,formal_train,,p_value,0.0002,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/significance.csv,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,sha256_schema_row_count,false,
b0_d3_statistics.1.ci95_low,b0_d3_statistics,formal_train,,ci95_low,0.029,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/significance.csv,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,sha256_schema_row_count,false,
b0_d3_statistics.1.ci95_high,b0_d3_statistics,formal_train,,ci95_high,0.0639,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/significance.csv,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,sha256_schema_row_count,false,
b0_d3_statistics.2.diff,b0_d3_statistics,formal_train,,diff,-0.0061,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/significance.csv,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,sha256_schema_row_count,false,
b0_d3_statistics.2.p_value,b0_d3_statistics,formal_train,,p_value,0.49975,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/significance.csv,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,sha256_schema_row_count,false,
b0_d3_statistics.2.ci95_low,b0_d3_statistics,formal_train,,ci95_low,-0.0248,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/significance.csv,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,sha256_schema_row_count,false,
b0_d3_statistics.2.ci95_high,b0_d3_statistics,formal_train,,ci95_high,0.0095,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/significance.csv,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,sha256_schema_row_count,false,
b0_d3_statistics.3.diff,b0_d3_statistics,formal_train,,diff,-0.0017,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/significance.csv,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,sha256_schema_row_count,false,
b0_d3_statistics.3.p_value,b0_d3_statistics,formal_train,,p_value,0.887911,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/significance.csv,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,sha256_schema_row_count,false,
b0_d3_statistics.3.ci95_low,b0_d3_statistics,formal_train,,ci95_low,-0.0207,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/significance.csv,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,sha256_schema_row_count,false,
b0_d3_statistics.3.ci95_high,b0_d3_statistics,formal_train,,ci95_high,0.0139,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/significance.csv,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,sha256_schema_row_count,false,
